name,name1,nationality,nationality1,dob,dob1,occupation,occupation1
Klaus Johann Jacobs,Klaus Johann Jacobs,http://dbpedia.org/resource/Germans,http://dbpedia.org/resource/Germans,12/3/1936,12/3/1936,http://dbpedia.org/resource/Klaus_Johann_Jacobs__PersonFunction__1,"Food and beverage company founder, chocolatier"
Lindsay Fox,Lindsay Fox,http://dbpedia.org/resource/Australians,http://dbpedia.org/resource/Australians,4/19/1937,4/19/1937,http://dbpedia.org/resource/Lindsay_Fox__PersonFunction__1,Founder and Chairman
Anu Aga,Anu Aga,http://dbpedia.org/resource/India,Indian,8/3/1942,8/3/1942,http://dbpedia.org/resource/Social_work,"Ex-Chairperson, Thermax Ltd., social worker"
Anu Aga,Anu Aga,http://dbpedia.org/resource/India,Indian,8/3/1942,8/3/1942,http://dbpedia.org/resource/Thermax,"Ex-Chairperson, Thermax Ltd., social worker"
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Reliance_Capital,Founder of Reliance Industries
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Reliance_Industries,Founder of Reliance Industries
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Reliance_Infrastructure,Founder of Reliance Industries
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Dhirubhai_Ambani__PersonFunction__1,Founder of Reliance Industries
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Reliance_Capital,"Founder of Reliance Capital, Reliance Infrastructure & Reliance Power"
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Reliance_Industries,"Founder of Reliance Capital, Reliance Infrastructure & Reliance Power"
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Reliance_Infrastructure,"Founder of Reliance Capital, Reliance Infrastructure & Reliance Power"
Dhirubhai Ambani,Dhirubhai Ambani,http://dbpedia.org/resource/India,Indian,12/28/1932,12/28/1932,http://dbpedia.org/resource/Dhirubhai_Ambani__PersonFunction__1,"Founder of Reliance Capital, Reliance Infrastructure & Reliance Power"
Theo Albrecht,Theo Albrecht,http://dbpedia.org/resource/German_nationality_law,http://dbpedia.org/resource/German_nationality_law,3/28/1922,3/28/1922,http://dbpedia.org/resource/Theo_Albrecht__PersonFunction__1,Entrepreneur
Umberto Agnelli,Umberto Agnelli,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/Italy,11/1/1934,11/1/1934,http://dbpedia.org/resource/Fiat,Head of Fiat and Juventus
Umberto Agnelli,Umberto Agnelli,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/Italy,11/1/1934,11/1/1934,http://dbpedia.org/resource/Juventus_F.C.,Head of Fiat and Juventus
Karl-Heinz Kipp,Karl-Heinz Kipp,http://dbpedia.org/resource/Germans,German,2/12/1924,2/12/1924,http://dbpedia.org/resource/Karl-Heinz_Kipp__PersonFunction__1,"Founder, Massa"
Savitri Jindal,Savitri Jindal,http://dbpedia.org/resource/India,Indian,3/20/1950,3/20/1950,http://dbpedia.org/resource/Savitri_Jindal__PersonFunction__1,Chairperson of Jindal Group
Jeffrey Koo Sr.,Jeffrey Koo Sr.,http://dbpedia.org/resource/Taiwan,http://dbpedia.org/resource/Republic_of_China,9/8/1933,9/8/1933,http://dbpedia.org/resource/Bank,banker
Jeffrey Koo Sr.,Jeffrey Koo Sr.,http://dbpedia.org/resource/Taiwan,http://dbpedia.org/resource/Republic_of_China,9/8/1933,9/8/1933,http://dbpedia.org/resource/Jeffrey_Koo_Sr.__PersonFunction__1,banker
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/ArcelorMittal,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Lakshmi_Mittal__PersonFunction__1,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.
Lakshmi Mittal,Lakshmi Mittal,http://dbpedia.org/resource/Indian_people,http://dbpedia.org/resource/Indian_people,6/15/1950,6/15/1950,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.,http://dbpedia.org/resource/Arcelor_Mittal
